Artikelcode;EANCode;Assortiment;Omschrijving;Voorraad
10121433;8719325647136;WHEELS;ERE GENUS II SL30-R CARBON DISC WHEELSET SHIMANO;7
10121435;8719325647150;WHEELS;ERE GENUS II AE65 CARBON DISC WHEELSET XDR;2
10121436;8719325647167;WHEELS;ERE GENUS II AE65-R CARBON DISC WHEELSET XDR;0
10121437;8719325647174;WHEELS;ERE GENUS II CL45 CARBON DISC WHEELSET XDR;4
10121438;8719325647181;WHEELS;ERE GENUS II CL45-R CARBON DISC WHEELSET XDR;1
10121439;8719325647198;WHEELS;ERE GENUS II SL30 CARBON DISC WHEELSET XDR;0
10121440;8719325647204;WHEELS;ERE GENUS II SL30-R CARBON DISC WHEELSET XDR;1
10121443;8720682570210;WHEELS;ERE GENUS II AE65 CARBON DISC WHEELSET CAMPA;5
10121444;8720682570227;WHEELS;ERE GENUS II AE65-R CARBON DISC WHEELSET CAMPA;4
10121445;8720682570234;WHEELS;ERE GENUS II CL45 CARBON DISC WHEELSET CAMPA;1
10121446;8720682570241;WHEELS;ERE GENUS II CL45-R CARBON DISC WHEELSET CAMPA;1
10121447;8720682570258;WHEELS;ERE GENUS II SL30 CARBON DISC WHEELSET CAMPA;3
10121448;8720682570265;WHEELS;ERE GENUS II SL30-R CARBON DISC WHEELSET CAMPA;2
10121457;8720682571217;WHEELS;ERE GENUS AE00-D CARBON DISC TT REAR WHEEL SHIMANO;9
10121458;8720682571224;WHEELS;ERE GENUS AE92-D CARBON DISC TT FRONT WHEEL;9
10121459;8720682571231;WHEELS;ERE GENUS AE00-D CARBON DISC TT REAR WHEEL SRAM XDR;2
10124;4250589408988;SPAREPARTS;CUBE MECH HANGER #124 SILVER;7
10127;4250589433959;SPAREPARTS;CUBE MECH HANGER 10127;1
10128;;SPAREPARTS;CUBE MECH HANGER 10128;13
10131062;8719325648317;COMPONENTS;ERE GENUS BAR TAPE BLACK/RED;7
10131109;8719325648409;COMPONENTS;ERE GENUS BAR TAPE WHITE/RED;15
10131751;8719992975327;COMPONENTS;ERE GENUS BAR TAPE BLACK/BLACK;299
10131752;8719992975334;COMPONENTS;ERE GENUS BAR TAPE BLACK/WHITE;60
10131753;8719992975341;COMPONENTS;ERE GENUS BAR TAPE BLACK/RED;421
10131754;8719992975358;COMPONENTS;ERE GENUS BAR TAPE BLACK/SIGNAL YELLOW;54
10134;4250589409664;SPAREPARTS;CUBE MECH HANGER 10134;1
10135;4250589409022;SPAREPARTS;CUBE MECH HANGER #135 BLACK;8
